failure_datetime,date,time,hour,location,temperature_celsius,is_peak_hour,is_weekend,repair_time_minutes,passengers_affected,trains_affected,is_rainy,month,failure_type_Interlocking,failure_type_Other,failure_type_Power Supply,failure_type_Software/Electronics,failure_type_Track Circuit,weather_Cloudy,weather_Foggy,weather_Rainy,weather_Snowy,weather_Stormy,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,season_Spring,season_Summer,season_Winter
2022-01-01,2022-01-01,00:00:00,0,Angel,11,0,1,85,3028,7,1,1,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
2022-01-02,2022-01-02,00:00:00,0,Covent Garden,3,0,1,20,210,3,0,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2022-01-03,2022-01-03,00:00:00,0,Waterloo,7,0,0,62,1772,5,1,1,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True
2022-01-04,2022-01-04,00:00:00,0,Whitechapel,3,0,0,57,2419,6,0,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
2022-01-06,2022-01-06,00:00:00,0,Holborn,4,0,0,103,1823,9,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2022-01-07,2022-01-07,00:00:00,0,Waterloo,4,0,0,109,2081,10,1,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2022-01-08,2022-01-08,00:00:00,0,Baker Street,8,0,1,41,1273,5,0,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-09,2022-01-09,00:00:00,0,King's Cross,6,0,1,120,1068,9,1,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
2022-01-10,2022-01-10,00:00:00,0,Bank,9,0,0,20,543,4,0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2022-01-11,2022-01-11,00:00:00,0,Euston,9,0,0,36,420,4,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2022-01-12,2022-01-12,00:00:00,0,Baker Street,-1,0,0,25,348,2,0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
2022-01-14,2022-01-14,00:00:00,0,Holborn,6,0,0,49,810,5,0,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2022-01-15,2022-01-15,00:00:00,0,Euston,7,0,1,50,1662,5,1,1,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
2022-01-16,2022-01-16,00:00:00,0,Liverpool Street,7,0,1,87,1273,7,0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2022-01-17,2022-01-17,00:00:00,0,London Bridge,9,0,0,20,334,3,0,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2022-01-19,2022-01-19,00:00:00,0,Southwark,10,0,0,84,2898,7,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2022-01-20,2022-01-20,00:00:00,0,St Pancras,8,0,0,69,1152,5,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2022-01-21,2022-01-21,00:00:00,0,Clapham Junction,8,0,0,21,694,3,0,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2022-01-22,2022-01-22,00:00:00,0,Elephant & Castle,0,0,1,159,6420,13,0,1,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-25,2022-01-25,00:00:00,0,Bank,2,0,0,86,2234,7,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2022-01-26,2022-01-26,00:00:00,0,St Pancras,6,0,0,70,2446,6,0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
2022-01-27,2022-01-27,00:00:00,0,Old Street,7,0,0,33,1364,5,0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
2022-01-29,2022-01-29,00:00:00,0,King's Cross,7,0,1,48,1526,5,1,1,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
2022-01-30,2022-01-30,00:00:00,0,Liverpool Street,6,0,1,71,1430,6,0,1,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True
2022-01-31,2022-01-31,00:00:00,0,Baker Street,3,0,0,36,709,4,0,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
2022-02-01,2022-02-01,00:00:00,0,Victoria,0,0,0,69,1881,6,0,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2022-02-02,2022-02-02,00:00:00,0,Moorgate,0,0,0,84,2990,6,0,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2022-02-04,2022-02-04,00:00:00,0,St Pancras,14,0,0,61,2123,7,0,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2022-02-05,2022-02-05,00:00:00,0,Borough,9,0,1,103,2705,8,0,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
