failure_datetime,date,time,hour,day_of_week,location,failure_type,weather,temperature_celsius,is_peak_hour,is_weekend,repair_time_minutes,passengers_affected,trains_affected,is_rainy,month,season
2022-01-01,2022-01-01,00:00:00,0,Saturday,Angel,Interlocking,Snowy,11,0,1,85,3028,7,1,1,Winter
2022-01-02,2022-01-02,00:00:00,0,Sunday,Covent Garden,Interlocking,Clear,3,0,1,20,210,3,0,1,Winter
2022-01-03,2022-01-03,00:00:00,0,Monday,Waterloo,Track Circuit,Snowy,7,0,0,62,1772,5,1,1,Winter
2022-01-04,2022-01-04,00:00:00,0,Tuesday,Whitechapel,Other,Cloudy,3,0,0,57,2419,6,0,1,Winter
2022-01-06,2022-01-06,00:00:00,0,Thursday,Holborn,Track Circuit,Clear,4,0,0,103,1823,9,0,1,Winter
2022-01-07,2022-01-07,00:00:00,0,Friday,Waterloo,Interlocking,Stormy,4,0,0,109,2081,10,1,1,Winter
2022-01-08,2022-01-08,00:00:00,0,Saturday,Baker Street,Track Circuit,Clear,8,0,1,41,1273,5,0,1,Winter
2022-01-09,2022-01-09,00:00:00,0,Sunday,King's Cross,Track Circuit,Rainy,6,0,1,120,1068,9,1,1,Winter
2022-01-10,2022-01-10,00:00:00,0,Monday,Bank,Cable/Connector,Clear,9,0,0,20,543,4,0,1,Winter
2022-01-11,2022-01-11,00:00:00,0,Tuesday,Euston,Power Supply,Clear,9,0,0,36,420,4,0,1,Winter
2022-01-12,2022-01-12,00:00:00,0,Wednesday,Baker Street,Cable/Connector,Cloudy,-1,0,0,25,348,2,0,1,Winter
2022-01-14,2022-01-14,00:00:00,0,Friday,Holborn,Interlocking,Cloudy,6,0,0,49,810,5,0,1,Winter
2022-01-15,2022-01-15,00:00:00,0,Saturday,Euston,Track Circuit,Rainy,7,0,1,50,1662,5,1,1,Winter
2022-01-16,2022-01-16,00:00:00,0,Sunday,Liverpool Street,Track Circuit,Clear,7,0,1,87,1273,7,0,1,Winter
2022-01-17,2022-01-17,00:00:00,0,Monday,London Bridge,Track Circuit,Clear,9,0,0,20,334,3,0,1,Winter
2022-01-19,2022-01-19,00:00:00,0,Wednesday,Southwark,Track Circuit,Clear,10,0,0,84,2898,7,0,1,Winter
2022-01-20,2022-01-20,00:00:00,0,Thursday,St Pancras,Interlocking,Clear,8,0,0,69,1152,5,0,1,Winter
2022-01-21,2022-01-21,00:00:00,0,Friday,Clapham Junction,Software/Electronics,Cloudy,8,0,0,21,694,3,0,1,Winter
2022-01-22,2022-01-22,00:00:00,0,Saturday,Elephant & Castle,Track Circuit,Foggy,0,0,1,159,6420,13,0,1,Winter
2022-01-25,2022-01-25,00:00:00,0,Tuesday,Bank,Cable/Connector,Clear,2,0,0,86,2234,7,0,1,Winter
2022-01-26,2022-01-26,00:00:00,0,Wednesday,St Pancras,Cable/Connector,Cloudy,6,0,0,70,2446,6,0,1,Winter
2022-01-27,2022-01-27,00:00:00,0,Thursday,Old Street,Power Supply,Foggy,7,0,0,33,1364,5,0,1,Winter
2022-01-29,2022-01-29,00:00:00,0,Saturday,King's Cross,Interlocking,Rainy,7,0,1,48,1526,5,1,1,Winter
2022-01-30,2022-01-30,00:00:00,0,Sunday,Liverpool Street,Track Circuit,Cloudy,6,0,1,71,1430,6,0,1,Winter
2022-01-31,2022-01-31,00:00:00,0,Monday,Baker Street,Interlocking,Cloudy,3,0,0,36,709,4,0,1,Winter
2022-02-01,2022-02-01,00:00:00,0,Tuesday,Victoria,Track Circuit,Clear,0,0,0,69,1881,6,0,2,Winter
2022-02-02,2022-02-02,00:00:00,0,Wednesday,Moorgate,Track Circuit,Clear,0,0,0,84,2990,6,0,2,Winter
2022-02-04,2022-02-04,00:00:00,0,Friday,St Pancras,Track Circuit,Clear,14,0,0,61,2123,7,0,2,Winter
2022-02-05,2022-02-05,00:00:00,0,Saturday,Borough,Track Circuit,Clear,9,0,1,103,2705,8,0,2,Winter
2022-02-06,2022-02-06,00:00:00,0,Sunday,King's Cross,Interlocking,Stormy,0,0,1,96,1123,7,1,2,Winter
2022-02-08,2022-02-08,00:00:00,0,Tuesday,Moorgate,Interlocking,Clear,10,0,0,41,476,4,0,2,Winter
2022-02-09,2022-02-09,00:00:00,0,Wednesday,Covent Garden,Interlocking,Rainy,6,0,0,42,480,4,1,2,Winter
2022-02-10,2022-02-10,00:00:00,0,Thursday,Euston,Track Circuit,Clear,8,0,0,111,5457,9,0,2,Winter
2022-02-11,2022-02-11,00:00:00,0,Friday,Old Street,Software/Electronics,Rainy,3,0,0,31,510,3,1,2,Winter
2022-02-12,2022-02-12,00:00:00,0,Saturday,Stratford,Power Supply,Clear,3,0,1,24,1079,3,0,2,Winter
